User Name,Driver's Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack
James Martin,9295051,9807818,4/27/2020,59531,"Silverton, CO",Single Car Accident,02/26/2021,06/04/2021,9240,17531,0
Frank Aguilera,2314174,9313937,6/25/2020,40124,"Montgomery City, MO",Auto Theft,07/21/2020,08/10/2020,17470,45415,0
Susan Laban,8476678,7588198,3/8/2020,40892,"Lake Nacimiento, CA",Single Car Accident,09/02/2020,05/01/2021,4023,36880,0
Tony Purifoy,8541922,8791425,11/7/2020,49529,"Beechwood Trails, OH",Hit and Run,02/23/2021,03/14/2021,7367,8205,0
Harold Sproul,1158365,7900553,9/15/2020,10777,"Milford, CT",Single Car Accident,05/14/2021,05/21/2021,4481,23086,1
Luis Armstrong,7595467,1935116,2/4/2020,95671,"Nehalem, OR",Single Car Accident,03/17/2021,04/17/2021,4504,42540,0
Roy Sam,4235688,1777099,7/1/2020,92468,"Linden, TX",Hit and Run,02/07/2021,03/30/2021,3330,25311,0
Don Hurley,4529093,9244241,6/21/2020,15702,"Rye, AZ",Multiple Car Accident,08/07/2020,12/02/2020,10371,27871,0
Ruby Roberts,6087721,1886027,8/2/2020,64369,"Winfield, AL",Single Car Accident,02/18/2021,04/23/2021,7670,24562,1
Justin Russell,1961951,3658154,11/18/2020,51736,"Anthony, NM",Bike & Car Accident,03/29/2021,04/01/2021,5780,43375,1
Charles Mancias,4815323,4838487,6/16/2020,52237,"Organ, NM",Auto Theft,09/10/2020,11/13/2020,15083,21218,0
Goldie Nalley,5211889,2600491,10/12/2020,81080,"Silverdale, PA",Hit and Run,01/23/2021,03/20/2021,19597,18237,1
Jerica Nieves,3704885,8150660,4/4/2020,78938,"Cambridge, NE",Bike & Car Accident,02/19/2021,04/16/2021,18418,32292,0
Anna Kohn,4148755,2641083,11/28/2020,44871,"South Sioux City, NE",Multiple Car Accident,06/06/2021,06/08/2021,7611,38473,0
Timothy Pietrowski,7535180,7022575,8/18/2020,63434,"Clinton, AR",Multiple Car Accident,05/30/2021,06/03/2021,17767,39527,1
Sarah White,7185928,4362406,9/11/2020,85290,"Hartford, IL",Bike & Car Accident,03/13/2021,03/30/2021,12170,6854,0
Holly Olson,2059864,6386960,12/7/2020,33359,"Earlston, PA",Auto Theft,05/22/2021,06/21/2021,15713,49992,1
