User Name,1124869,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,1,Claim Id
Margie Waggoner,6149743,6340473,7/10/2020,13353,"Heidelberg, MN",Multiple Car Accident,03/18/2021,05/31/2021,14554,9256,0,4743669
Lillian Horton,5830812,1875264,3/1/2020,38824,"Hillcrest, IL",Multiple Car Accident,08/05/2020,09/01/2020,5597,10000,1,9535239
Bradley Templeton,5075118,4716184,1/22/2020,49361,"West Union, SC",Bike & Car Accident,01/25/2020,05/11/2020,19161,32779,1,8084375
Ann Campbell,2380378,2128896,6/28/2020,53247,"Las Cruces, NM",Bike & Car Accident,04/15/2021,06/13/2021,11038,6460,0,5022478
Jennifer Havenhill,7469762,1148069,6/8/2020,74973,"League City, TX",Multiple Car Accident,12/07/2020,04/19/2021,7075,45418,0,2326795
Nathan Starnes,3839486,1175174,7/23/2020,62213,"Mill Creek, PA",Auto Theft,02/08/2021,04/19/2021,19553,24341,1,1238745
Dennis Fabian,6209530,9985077,3/16/2020,98469,"Dwale, KY",Auto Theft,05/06/2020,05/12/2020,15895,25102,0,9118949
Bryan Large,9854972,3546462,6/20/2020,60065,"Sandy Hook, WI",Multiple Car Accident,07/10/2020,08/15/2020,18057,53411,1,9555241
Evelyn Bradley,3872688,8588420,11/26/2020,10966,"SeaTac, WA",Bike & Car Accident,05/06/2021,05/07/2021,18396,37394,0,4879088
Clara Richardson,4251202,8356681,5/26/2020,67559,"Midway South, TX",Hit and Run,04/16/2021,04/24/2021,9286,52296,0,7219434
Otis Keyes,8979528,3805347,12/19/2020,93491,"Myrtle Grove, NC",Hit and Run,05/17/2021,05/28/2021,3803,19713,0,9363646
Virginia Sneed,9471189,3053383,3/20/2020,28072,"Bel Aire, KS",Bike & Car Accident,03/10/2021,03/19/2021,6258,53692,0,8459984
Robert Alexis,1650340,1440976,5/22/2020,26446,"McCutchenville, OH",Multiple Car Accident,12/15/2020,06/17/2021,5569,44763,0,1934245
Rolland Bailey,6226016,6578992,4/6/2020,91541,"Marshfield, WI",Hit and Run,05/11/2021,06/18/2021,15052,51816,0,4636394
Howard Self,4347956,7799369,2/12/2020,81334,"Edgefield, LA",Bike & Car Accident,03/15/2020,03/17/2020,6309,29614,1,8321998
Christy Hernandez,3866717,9468119,4/4/2020,43509,"North Bay Village, FL",Auto Theft,02/08/2021,05/11/2021,3031,16561,1,6741895
Diana Johnson,2024736,8260354,6/10/2020,65283,"Archie, MO",Bike & Car Accident,05/30/2021,06/27/2021,14127,37266,0,2663065
Rachel Howard,2262246,8363003,4/5/2020,61332,"Cedar Creek, NE",Auto Theft,05/08/2021,06/24/2021,3804,21002,0,7000153
Jorge Parr,4510229,8386311,10/27/2020,49011,"Westby, WI",Multiple Car Accident,05/07/2021,06/04/2021,6702,55218,0,5831608
Barbara Payne,6916601,9959887,1/25/2020,65058,"Spring Valley Lake, CA",Auto Theft,04/08/2020,09/28/2020,7905,9585,0,4476101
Alonzo Shapiro,5958883,4456442,2/8/2020,43657,"Patterson, OH",Auto Theft,07/16/2020,05/09/2021,4410,42034,1,4763628
Wendy Strohmeyer,8382932,3241561,9/28/2020,86143,"South Gate Ridge, FL",Bike & Car Accident,11/07/2020,02/12/2021,9663,9235,1,7049695
Jeff Cain,6694286,1396937,12/10/2020,79323,"Fulton, IL",Auto Theft,03/02/2021,04/15/2021,4257,51294,0,5704530
Roy Alvarez,8740270,9396943,3/8/2020,47556,"Palmer, TX",Bike & Car Accident,02/04/2021,06/02/2021,15109,29836,0,1386528
Laura Berry,7933371,3417473,9/7/2020,93455,"Prichard, WV",Hit and Run,11/15/2020,03/03/2021,10127,26306,1,3511292
Joanne Gisin,4174007,4677547,1/12/2020,30149,"Collegeville, IN",Hit and Run,02/23/2020,03/27/2021,4555,33218,1,5438883
Laura Zayicek,9547978,8150252,2/27/2020,63157,"Bristow, IA",Auto Theft,10/03/2020,10/16/2020,16364,56591,0,1461896
David Goldblatt,7024625,7493155,6/28/2020,19972,"Mechanicsburg, PA",Multiple Car Accident,08/19/2020,06/22/2021,16481,38995,1,8507362
Kelly Coleman,2255660,6223880,12/2/2020,66499,"Sumas, WA",Bike & Car Accident,04/17/2021,06/30/2021,18801,16678,0,2245881
Ryan Dingle,1094632,6417451,12/10/2020,81241,"Carrier Mills, IL",Hit and Run,02/17/2021,05/02/2021,17343,6384,0,7147598
Carol Wiley,4290800,5345180,12/19/2020,77661,"Elizabethtown, PA",Multiple Car Accident,03/25/2021,04/03/2021,8630,47201,0,7545531
Jessica Hamilton,8711830,4017715,6/16/2020,48320,"Portal, GA",Bike & Car Accident,10/26/2020,12/23/2020,8282,29351,0,8372116
Sandra Nachtrieb,4481597,9950771,9/23/2020,63003,"Fresno, CA",Hit and Run,04/19/2021,06/08/2021,4679,21101,1,4738825
Diamond Godeaux,4366686,5901123,4/13/2020,59938,"Fort Polk South, LA",Bike & Car Accident,05/02/2021,05/08/2021,4057,23040,0,4969337
Robert Fitzsimmons,5670730,8088688,11/23/2020,57070,"Keokee, VA",Hit and Run,06/26/2021,06/30/2021,7208,11396,0,3313397
Debra Corning,5219121,8134474,7/9/2020,97032,"Deer River, MN",Bike & Car Accident,12/19/2020,04/15/2021,2590,53248,1,2338628
Monica Ackerman,1964616,6027411,4/8/2020,62275,"Bainbridge, OH",Auto Theft,04/24/2020,11/19/2020,3124,46926,0,1629913
Mark Freeman,3590679,6935462,7/16/2020,74150,"Dixon, MT",Multiple Car Accident,11/02/2020,01/02/2021,16142,22280,1,3561417
Latoya Yamamoto,5222086,8406839,5/1/2020,86383,"Palmyra, UT",Auto Theft,05/23/2020,02/05/2021,17114,46014,0,2771072
Gladys Luciano,2995805,4404593,4/8/2020,87035,"Hooper, CO",Single Car Accident,01/17/2021,03/23/2021,3814,33233,0,6317043
Carmen Locorriere,7237061,9958499,4/26/2020,82894,"Hamilton, MS",Single Car Accident,01/26/2021,05/15/2021,9658,45135,0,3827493
Britney Howland,5818878,3576819,3/6/2020,88375,"Wallaceton, PA",Multiple Car Accident,01/15/2021,03/11/2021,14214,36139,0,8512836
Gary Hilburn,3118828,3299248,9/3/2020,44009,"Rowena, OR",Single Car Accident,02/09/2021,05/11/2021,8285,58044,0,3590773
Larry Thomas,4348357,2223230,9/18/2020,74337,"Deale, MD",Auto Theft,03/30/2021,05/26/2021,15311,33296,0,6791624
Jason West,4064892,1059540,11/25/2020,40845,"La Valle, WI",Multiple Car Accident,06/20/2021,06/26/2021,12838,22410,1,2827962
Odessa Beach,7279949,5572259,9/13/2020,60542,"Oatman, AZ",Auto Theft,05/30/2021,06/30/2021,7588,50508,0,1398717
Regina Kalberer,5998350,8662106,9/16/2020,56250,"Farmersville, PA",Hit and Run,11/09/2020,04/04/2021,7516,18654,1,4698123
Timothy Wilson,1367359,3530359,2/14/2020,93830,"Normandy Park, WA",Multiple Car Accident,06/12/2021,06/16/2021,12600,12265,0,2064128
Ethelene Hauer,7030196,9974806,4/23/2020,51894,"Arnett, OK",Single Car Accident,09/02/2020,10/18/2020,15689,14646,0,6800094
Mary Merlette,6814445,9363245,4/8/2020,91896,"Rushford, MN",Multiple Car Accident,05/29/2021,06/02/2021,18584,52208,0,7440229
Harry Hart,3499685,8662106,6/28/2020,97665,"Frederic, WI",Single Car Accident,04/21/2021,05/11/2021,8553,31040,1,1924475
Alice Gilbert,1022990,3644014,5/8/2020,74734,"Herman, MN",Auto Theft,10/16/2020,02/16/2021,12959,18590,0,6471792
Eleanor Rinker,4064892,7903579,5/28/2020,31770,"Strawn, TX",Auto Theft,10/30/2020,12/04/2020,19230,52934,1,1897464
Joshua Hornbuckle,9257984,1271159,4/18/2020,99105,"Shillington, PA",Hit and Run,05/29/2020,12/09/2020,13401,20888,0,4361465
Dwight Aguirre,9262654,5411771,10/15/2020,83789,"Dillard, OR",Bike & Car Accident,03/19/2021,04/07/2021,8832,16800,0,2216056
Nancy Dunkan,6507966,8953374,12/11/2020,17652,"Kincaid, IL",Multiple Car Accident,04/15/2021,05/03/2021,11619,45927,0,7267150
Lawrence Sanchez,6770820,5714712,4/18/2020,45841,"Walker, IA",Single Car Accident,05/16/2020,02/16/2021,7921,35150,0,4854982
Scott Alfaro,2721885,2808272,11/24/2020,78234,"Reno, OH",Hit and Run,04/08/2021,04/14/2021,17969,37644,0,3491270
Daniel Tressler,5119936,8964953,9/17/2020,91060,"Wheaton, MO",Multiple Car Accident,11/03/2020,11/07/2020,11527,50626,0,5538599
Lee Reda,5938314,6935462,12/17/2020,56927,"North Bend, NE",Bike & Car Accident,01/23/2021,06/05/2021,9085,59073,1,1008381
Vern Little,8459417,3098367,11/28/2020,29345,"Beaconsfield, IA",Hit and Run,02/23/2021,06/15/2021,16492,46366,0,5627096
Steven Halcomb,5219121,9613875,7/13/2020,74065,"Barnett, MO",Bike & Car Accident,12/01/2020,02/09/2021,12204,27425,1,9991394
Jennifer Hamer,1299457,8541495,6/1/2020,55685,"East Uniontown, PA",Auto Theft,09/05/2020,03/20/2021,14102,12919,0,1861745
Antonio Villarreal,1367142,7693958,3/27/2020,45906,"Killen, AL",Single Car Accident,07/26/2020,10/24/2020,8869,32239,0,6201847
Martin Pinckney,4805346,9950771,2/7/2020,59893,"Presidential Lakes Estates, NJ",Single Car Accident,03/16/2021,06/15/2021,19165,21229,1,7042400
Jean Franklin,3367630,2321067,5/9/2020,92625,"Granger, WY",Hit and Run,06/02/2020,02/10/2021,10109,46828,0,9238903
Jed Mulhall,4768824,7340649,2/11/2020,20245,"Dunnigan, CA",Hit and Run,07/31/2020,12/31/2020,17118,29492,0,5320867
William Payne,3284800,9976838,1/7/2020,36970,"Damascus, MD",Bike & Car Accident,06/07/2020,05/11/2021,6103,39657,0,6317470
David Chalmers,1095682,8385148,11/16/2020,35054,"Dalworthington Gardens, TX",Single Car Accident,02/09/2021,04/28/2021,2385,12848,0,4342129
