User Name,9220950,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,1,Claim Id,Age
Patricia Gonzales,7689780,3197381,11/11/2020,10169,"St. George, WV",Single Car Accident,04/29/2021,06/29/2021,14897,12548,0,7945086,43
Rudy Nosek,1451232,8667478,2/19/2020,10354,"Middle Frisco, NM",Multiple Car Accident,08/04/2020,12/18/2020,17714,26971,0,1623455,48
Christopher Ott,1162286,1639923,9/14/2020,79508,"Fishers Island, NY",Multiple Car Accident,10/06/2020,05/01/2021,8319,54257,0,1958463,51
Ethel Ostrov,7213657,4161791,7/2/2020,28526,"Jacinto City, TX",Bike & Car Accident,03/21/2021,06/27/2021,19712,23730,0,7482537,34
Donald Daniel,9658460,7212617,8/15/2020,25006,"Florala, AL",Multiple Car Accident,08/22/2020,11/12/2020,4767,55315,0,5959292,35
Mira Stribley,5033307,8739733,6/24/2020,35805,"Oasis, CA",Single Car Accident,01/13/2021,02/24/2021,9726,14753,0,6196016,59
Mary Holmes,5801014,5460414,8/16/2020,34335,"Walton Hills, OH",Single Car Accident,08/27/2020,09/07/2020,17305,32943,0,9025148,57
Johnnie Chester,8162489,2778738,7/1/2020,66390,"Carbon, TX",Bike & Car Accident,02/12/2021,05/21/2021,11516,47615,0,3668949,52
Michael Stewart,9767795,2906586,2/10/2020,36086,"Patterson Springs, NC",Bike & Car Accident,07/28/2020,10/14/2020,11648,33849,0,1157461,43
Charles Franklin,1421860,3353988,6/5/2020,17002,"Gulf Hills, MS",Single Car Accident,02/23/2021,03/08/2021,7288,43370,0,8400857,62
Elizabeth Grimes,2837831,8831137,9/8/2020,75359,"Wright City, MO",Auto Theft,10/28/2020,11/30/2020,12763,9848,0,4857929,17
Joel Page,1669141,8223589,4/3/2020,32273,"Dennison, MN",Single Car Accident,06/09/2020,03/11/2021,6206,44560,0,5934540,20
Albert Carey,6888863,4534019,1/4/2020,80723,"Arrowhead Springs, WY",Single Car Accident,06/02/2020,04/02/2021,8728,43492,0,8224838,28
Alvin Martinez,3338147,3450644,3/5/2020,70138,"Glenaire, MO",Multiple Car Accident,05/07/2020,01/21/2021,18687,28155,0,6724360,22
Jessie Evey,9182415,3292901,11/25/2020,11190,"Saltsburg, PA",Auto Theft,01/03/2021,06/08/2021,7997,34390,0,7150214,60
George Jackola,3438566,2035532,5/16/2020,94422,"La Harpe, KS",Single Car Accident,06/09/2021,06/25/2021,2332,53489,1,8071726,38
William Beck,5452246,4174431,4/13/2020,13332,"Yolo, CA",Hit and Run,01/16/2021,02/17/2021,18273,36532,0,9350336,62
Cathryn Maxwell,4038479,8295210,3/24/2020,44743,"Moravian Falls, NC",Single Car Accident,01/06/2021,02/14/2021,11070,51538,0,6712587,54
