User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
James Lavoie,9007496,2747473,3/25/2020,67379,"Barrville, PA",Hit and Run,05/24/2020,08/14/2020,12466,30496,0,9104966,46
John Olivarez,5206159,2229137,2/4/2020,45023,"Chester, GA",Auto Theft,03/18/2020,03/17/2021,9471,53970,0,8963895,62
Mary Mckinney,5002045,9766115,8/20/2020,47037,"Lyons, MI",Multiple Car Accident,03/16/2021,05/17/2021,2660,43539,0,3085631,28
John Delong,1803513,7987874,4/1/2020,37822,"Tunnelhill, PA",Multiple Car Accident,04/03/2021,05/21/2021,4693,9152,1,4013573,31
Jamie Rudnicki,7796143,7152934,3/15/2020,17670,"Pea Ridge, FL",Multiple Car Accident,02/28/2021,06/20/2021,7584,6453,1,5670286,55
Kathryn Duff,7675391,4709864,12/24/2020,35717,"Point Isabel, IN",Multiple Car Accident,04/28/2021,05/28/2021,19414,59906,0,1250501,43
Barbara Boyd,4458255,5998883,10/27/2020,61240,"Maeser, UT",Single Car Accident,04/04/2021,04/10/2021,19211,29445,0,9343638,31
Glenn Mcmasters,1316510,5932627,3/19/2020,79617,"Decatur, AL",Multiple Car Accident,09/10/2020,04/16/2021,2979,21912,0,7444052,41
Latoya Timmons,7989229,5665278,2/2/2020,76377,"Edinburg, VA",Multiple Car Accident,08/19/2020,09/27/2020,14298,45254,1,9495035,43
William Burton,5496324,5122023,4/27/2020,99640,"Summerville, PA",Hit and Run,05/06/2021,05/23/2021,17311,5248,0,7207448,53
Adrian Cecil,1129238,6825770,7/2/2020,54006,"Crossett, AR",Hit and Run,02/05/2021,04/27/2021,10402,46293,0,5997848,24
Genevieve Williams,3543872,7295841,7/1/2020,68832,"Lowell, MA",Single Car Accident,10/28/2020,11/21/2020,6445,23729,0,4825701,64
Christine Barnoski,6382339,8582873,8/22/2020,37516,"Bridgewater, IA",Single Car Accident,08/30/2020,05/17/2021,14931,15281,1,4929483,16
Mary Weber,1681808,4576716,12/10/2020,70136,"South Webster, OH",Multiple Car Accident,06/05/2021,07/08/2021,6864,34990,1,3600984,52
Jocelyn Sassaman,6671682,7587728,10/5/2020,61333,"Bay Shore, NY",Multiple Car Accident,05/11/2021,06/06/2021,3587,43210,0,4761790,34
Dorothy Frederick,8420466,7673238,6/19/2020,88108,"Cumming, IA",Auto Theft,12/05/2020,12/17/2020,3261,5523,0,4512338,17
Robert Kanagy,2466415,9377590,2/27/2020,79271,"East Kingston, NY",Auto Theft,03/07/2021,03/13/2021,14352,38736,0,8454967,47
Lisa Smith,2467502,3093091,10/16/2020,81354,"East Williston, FL",Bike & Car Accident,12/05/2020,05/04/2021,11069,55221,0,6408705,27
Arlene Jefferson,8643187,2200749,5/18/2020,62014,"Trenton, UT",Multiple Car Accident,07/02/2020,05/14/2021,8718,9152,1,6019238,36
Tracy Starkey,8278565,1964713,9/17/2020,46333,"Covelo, CA",Auto Theft,03/11/2021,03/18/2021,9495,22986,1,2243577,48
Sandy Muniz,2226952,3889734,4/5/2020,75183,"Trapper Creek, AK",Single Car Accident,07/07/2021,07/15/2021,17587,11187,1,4638193,58
John Silver,7403419,2917220,12/21/2020,54473,"Grayson Valley, AL",Auto Theft,04/08/2021,05/19/2021,16513,30182,0,2407493,54
Julie Vancleave,7358700,3439479,11/7/2020,50399,"Lillie, LA",Multiple Car Accident,11/25/2020,02/24/2021,3626,16876,1,8820535,45
Larry Escoto,9522226,8403149,10/7/2020,97875,"McClellanville, SC",Auto Theft,10/11/2020,10/17/2020,10121,41747,0,1483351,29
Casey Rothhaupt,5958983,3439479,1/20/2020,36585,"Monson, CA",Bike & Car Accident,05/04/2020,03/23/2021,4105,50595,1,5013894,19
Christopher White,7409471,4642564,8/4/2020,26553,"Flushing, MI",Bike & Car Accident,06/03/2021,06/18/2021,18509,59191,0,1751027,47
Kenny Nelson,4775437,3889734,1/21/2020,39952,"Dunsmuir, CA",Multiple Car Accident,12/08/2020,01/14/2021,18733,33282,1,5034026,60
Jacqueline Cruz,8278565,2844678,7/6/2020,48185,"Naponee, NE",Auto Theft,09/21/2020,10/15/2020,13291,24110,1,1945697,49
Victoria Moore,8643187,2200749,10/14/2020,85773,"Richland, MO",Auto Theft,06/13/2021,06/22/2021,7530,56338,1,1514282,58
Patricia Jones,5206453,9531200,11/4/2020,33961,"Fredericktown, OH",Bike & Car Accident,11/26/2020,06/28/2021,11783,39666,0,3635664,56
Tim Finnerty,8167272,5224754,5/16/2020,60611,"Melissa, TX",Auto Theft,08/06/2020,06/08/2021,2897,11589,0,3849964,42
Linda Torres,3736798,8037953,6/27/2020,52507,"Esparto, CA",Auto Theft,04/17/2021,04/18/2021,5831,17525,0,3488174,26
Jana Gause,5876824,6336857,6/14/2020,65925,"Steamboat, AZ",Hit and Run,11/20/2020,04/17/2021,18644,35230,0,1617614,54
Daniel Niemczyk,1681808,4953595,5/28/2020,93532,"Darfur, MN",Bike & Car Accident,12/06/2020,06/07/2021,12850,13629,1,5106219,54
Edward Guertin,6382339,9818807,2/25/2020,47365,"Scotland, IN",Auto Theft,01/28/2021,06/11/2021,18476,43230,1,7106750,39
Carolyn Gatling,7092822,2647511,7/12/2020,33741,"Ponemah, MN",Auto Theft,09/14/2020,11/30/2020,6072,35938,0,6705494,24
Sherry Martin,3692034,8096060,3/1/2020,52419,"Wortham, TX",Hit and Run,03/29/2021,06/06/2021,17354,12279,0,4189379,47
Zachary Sanchez,9591785,5912252,5/27/2020,38804,"Glen Rose, TX",Bike & Car Accident,07/25/2020,03/09/2021,16767,53795,0,8914336,39
William Wiford,7989229,5665278,5/24/2020,65050,"Hartwell, GA",Hit and Run,11/23/2020,02/09/2021,17912,55574,1,1194579,23
Judith Sifford,5365255,3334810,6/15/2020,69169,"Hartford, MI",Single Car Accident,10/30/2020,10/31/2020,4114,10161,0,6542588,47
Howard Boyd,4324735,2853416,3/8/2020,81105,"Steele, MO",Bike & Car Accident,06/28/2021,07/15/2021,4102,40483,0,2123933,29
Luise Allen,5646322,3376415,12/25/2020,44557,"Oakland, OR",Single Car Accident,02/02/2021,05/30/2021,18571,50075,0,3492365,56
Richard Hollis,4256166,7152934,12/20/2020,81598,"Myersville, MD",Single Car Accident,05/11/2021,05/25/2021,14953,34840,1,9920583,25
Theresa Posadas,1803513,8269913,5/25/2020,22200,"San Martin, CA",Hit and Run,10/10/2020,11/04/2020,19607,8003,1,7888132,33
Evangeline Michelson,7863163,1001290,11/22/2020,99054,"Abbeville, SC",Hit and Run,02/28/2021,07/09/2021,6461,16222,0,9021696,46
Anthony Sawyer,6329425,5285284,7/14/2020,11799,"Enetai, WA",Single Car Accident,09/14/2020,10/08/2020,5520,33239,0,7036029,58
