User Name,Driver Id,3211721,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,1,Claim Id,Age
Linda Wolff,2358813,1881742,5/19/2020,88567,"Luray, VA",Single Car Accident,04/05/2021,10/22/2021,8375,10081,0,1821417,55
Adam Brickley,6545461,8177002,10/17/2020,83869,"Tse Bonito, NM",Bike & Car Accident,11/29/2020,08/20/2021,3454,52316,0,1908467,55
Wanda Wallace,2336644,8947423,1/25/2020,89148,"Pleasant Prairie, WI",Multiple Car Accident,10/08/2020,08/14/2021,18762,29385,0,3023473,28
Christopher Allen,8267664,8791295,2/1/2020,31987,"Jeffersonville, NY",Single Car Accident,07/24/2021,08/25/2021,6962,58400,0,2528357,50
Mary Carmon,1348047,3534690,9/4/2020,38966,"Jennings Lodge, OR",Multiple Car Accident,10/03/2020,04/25/2021,19675,18234,0,2347203,49
Kari Earp,9042884,6749789,12/4/2020,81092,"North Myrtle Beach, SC",Bike & Car Accident,04/05/2021,07/04/2021,9752,6585,0,7589696,40
Richard Hannaford,7051247,2010348,7/4/2020,50225,"Hutchinson, MN",Hit and Run,07/20/2020,06/05/2021,12374,49266,1,1472482,27
Richard Kearney,1312737,8953454,3/11/2020,37792,"Pungoteague, VA",Single Car Accident,04/17/2021,08/07/2021,9799,55100,0,9853154,56
Bennie Adams,4746627,8222105,6/7/2020,52683,"New Brunswick, NJ",Hit and Run,01/04/2021,05/19/2021,2346,48233,0,7693705,29
Amanda Perkins,4097062,1060264,2/17/2020,68947,"St. Mary's, CO",Single Car Accident,07/08/2021,08/26/2021,15991,25463,0,6959663,33
Fernande Reeves,1309781,9759419,6/26/2020,48103,"Rolette, ND",Bike & Car Accident,04/04/2021,07/05/2021,6439,20407,0,2896329,39
Sally Brunson,5903626,8981184,7/19/2020,66385,"Stony River, AK",Auto Theft,11/24/2020,06/12/2021,17248,14779,1,2976827,29
Robert Jones,4956098,9446359,7/18/2020,13669,"Cody, WY",Bike & Car Accident,09/21/2020,11/03/2020,18956,16677,1,7844729,24
Donnie Washington,7946894,3681626,12/17/2020,81263,"Orem, UT",Bike & Car Accident,06/30/2021,10/14/2021,14400,24866,1,9396497,61
Edgar Russell,8368824,1056968,8/2/2020,28947,"Mount Aetna, PA",Multiple Car Accident,08/02/2020,11/19/2021,14860,40700,0,9559388,54
Robert Waldeck,2917708,1676669,6/4/2020,99166,"Duncan, AZ",Multiple Car Accident,03/19/2021,04/25/2021,3024,32573,0,3138127,35
John Costello,5787343,6397023,1/11/2020,10655,"Umatilla, OR",Hit and Run,05/28/2021,09/06/2021,6008,46887,0,7571252,40
Frances Ellington,7864464,7362868,11/28/2020,87735,"Baileyton, TN",Multiple Car Accident,04/15/2021,06/04/2021,19266,53712,0,5645999,51
Hannah Ramey,2393517,9152992,5/17/2020,29971,"Summertown, TN",Bike & Car Accident,09/20/2020,11/11/2021,8735,8235,0,3990490,23
Kristen Grady,2656130,5393180,10/26/2020,22835,"Lone Rock, WI",Bike & Car Accident,03/03/2021,07/25/2021,12799,34160,1,6133795,19
Lee Gonzales,8154964,7937444,10/2/2020,35848,"Pembroke, NC",Multiple Car Accident,08/22/2021,09/14/2021,15747,26080,0,6721588,46
Richard Holder,9691560,2027024,1/8/2020,10545,"Brian Head, UT",Hit and Run,01/31/2020,07/07/2020,13994,30646,0,2110198,60
Lisa Magera,7866328,1088375,2/12/2020,45031,"Bajandas, PR",Hit and Run,02/08/2021,09/16/2021,7474,44223,0,6144242,30
Felicia Thomas,6508775,9929748,3/7/2020,19605,"Front Royal, VA",Multiple Car Accident,01/15/2021,05/16/2021,16775,21307,0,2506980,38
Mariann Thomas,2462750,2914892,7/14/2020,74848,"Sandy Hook, WI",Hit and Run,09/13/2020,10/21/2021,2861,11892,0,8861817,43
Edna Larkin,2442837,1237392,5/19/2020,45070,"Crowheart, WY",Single Car Accident,08/08/2021,09/06/2021,12562,11796,0,5448453,29
Jason Altman,8713182,6383276,10/28/2020,62346,"Long Beach, IN",Hit and Run,02/09/2021,02/17/2021,15517,22058,0,6275202,42
Jarrod Brown,2656130,3402750,4/21/2020,84795,"Olivia, MN",Multiple Car Accident,02/23/2021,11/14/2021,17835,54132,1,6211787,49
Ellen Reyna,5006394,3772852,10/4/2020,25695,"Montreal, MO",Multiple Car Accident,06/14/2021,10/28/2021,2964,46587,0,8568442,65
Catherine Colbert,5709444,5779689,7/4/2020,68744,"Barling, AR",Hit and Run,07/26/2020,01/03/2021,14043,44850,0,8969019,39
Jessica Asato,8265587,7247197,9/14/2020,72617,"Green, OR",Bike & Car Accident,08/11/2021,11/24/2021,2202,50281,0,6765661,17
Nicole Kendall,9395257,8609328,3/1/2020,61528,"Calumet, OK",Bike & Car Accident,02/23/2021,07/28/2021,16896,51687,0,9362738,34
Jose Stallings,2015976,3024198,8/15/2020,15736,"Middletown, PA",Auto Theft,08/14/2021,10/31/2021,18964,10650,0,4457251,21
Heather Hatchett,7946894,3681626,8/24/2020,21047,"Grass Valley, NV",Bike & Car Accident,12/11/2020,07/16/2021,2759,44665,1,6366101,50
Donald Marasco,8112100,9446359,1/20/2020,37639,"Bellville, OH",Hit and Run,05/20/2020,09/04/2021,16272,45312,1,9838427,63
Steven Dunn,5903626,8981184,7/4/2020,51174,"Markleysburg, PA",Single Car Accident,05/28/2021,10/30/2021,14980,59348,1,5816669,54
Frank Hollaway,7845360,9392888,11/4/2020,63537,"St. Marys, PA",Bike & Car Accident,11/27/2021,11/27/2021,5300,23920,0,8980299,54
Bernard Drennan,6327179,7541704,11/6/2020,86409,"Hicksville, OH",Bike & Car Accident,11/30/2020,01/09/2021,8776,18226,0,2914608,19
Robert Hodge,1671211,8330921,7/25/2020,50322,"Ina, IL",Bike & Car Accident,05/22/2021,10/03/2021,9288,58840,0,2821511,54
Richard Maske,5963956,2114765,1/26/2020,18751,"Booneville, AR",Bike & Car Accident,08/26/2021,11/17/2021,18748,49730,0,6533897,24
Betty Ranck,7051247,9629559,12/9/2020,28662,"Langley, OK",Multiple Car Accident,10/23/2021,11/13/2021,16408,59100,1,8422320,51
Vincent Mcbride,4011921,5614889,9/1/2020,44888,"Custer City, OK",Bike & Car Accident,09/29/2020,09/27/2021,18250,42998,0,9791554,65
Bradley Roberts,6584025,4532633,5/27/2020,47688,"Olivet, MI",Multiple Car Accident,08/06/2021,10/01/2021,18438,44096,0,7183289,52
Elida Stewart,9926691,5410845,1/14/2020,77841,"Rossville, TN",Single Car Accident,02/07/2021,07/10/2021,9557,39636,0,1547416,53
Paul Moore,1782219,4694287,6/24/2020,65569,"Eagle Harbor, MD",Hit and Run,07/02/2021,07/08/2021,19904,27374,0,5816820,22
Margarita Camacho,7264722,1105786,3/6/2020,72570,"Konawa, OK",Bike & Car Accident,10/01/2021,10/11/2021,3272,9074,0,5886658,65
Miki Kennedy,9582809,1032170,2/9/2020,44030,"West Elmira, NY",Hit and Run,01/16/2021,11/17/2021,12030,18622,0,1176383,61
Susan Hill,8547092,3211721,9/7/2020,42695,"Falling Waters, WV",Auto Theft,11/17/2021,11/23/2021,17240,32418,1,5903610,63
Sarah Holmes,2126266,2266799,5/8/2020,22444,"Buckley, WA",Hit and Run,11/11/2021,11/17/2021,15447,14669,0,1623450,61
Lindsey Fry,4846966,7465031,4/27/2020,83739,"Crofton, KY",Auto Theft,07/27/2021,08/24/2021,16573,29125,0,1807921,38
Richard Holder,9691560,2027024,1/8/2020,10545,"Brian Head, UT",Hit and Run,01/31/2020,07/07/2020,13994,30646,0,8441983,60
Ellen Reyna,5006394,3772852,10/4/2020,25695,"Montreal, MO",Multiple Car Accident,06/14/2021,10/28/2021,2964,46587,0,4390147,65
Adam Brickley,6545461,8177002,10/17/2020,20542,"Talmage, KS",Auto Theft,06/14/2021,07/03/2021,15929,52316,0,7288489,55
Robert Waldeck,2917708,1676669,6/4/2020,97553,"Chester, VA",Hit and Run,08/18/2020,04/05/2021,3612,32573,0,3275169,35
Lee Gonzales,8154964,7937444,10/2/2020,75169,"Southside Chesconessex, VA",Bike & Car Accident,12/24/2020,06/27/2021,11542,26080,0,7583984,46
Felicia Thomas,6508775,9929748,3/7/2020,31662,"Palmetto Estates, FL",Bike & Car Accident,10/01/2021,11/21/2021,17396,21307,0,2773115,38
Catherine Colbert,5709444,5779689,7/4/2020,43909,"Bluetown, TX",Multiple Car Accident,08/20/2020,01/05/2021,9149,44850,0,5365915,39
Nicole Kendall,9395257,8609328,3/1/2020,23743,"Avoca, PA",Auto Theft,05/18/2020,05/27/2021,10614,51687,0,9748649,34
Steven Dunn,5903626,3061472,7/4/2020,17657,"Eastlake, MI",Auto Theft,03/17/2021,10/06/2021,16977,59348,0,4181105,54
Richard Maske,5963956,2114765,1/26/2020,24752,"Interlachen, FL",Hit and Run,07/29/2021,11/02/2021,12749,49730,0,1757917,24
Betty Ranck,3620911,9629559,12/9/2020,44475,"Fredonia, AZ",Multiple Car Accident,08/16/2020,10/14/2021,6805,59100,0,4973951,51
Vincent Mcbride,4011921,5614889,9/1/2020,43339,"Exmore, VA",Single Car Accident,10/15/2020,02/20/2021,13808,42998,0,3303261,65
Kari Earp,9042884,6749789,12/4/2020,26766,"Tri-City, OR",Auto Theft,04/04/2021,06/02/2021,7686,6585,0,3749218,40
Amanda Perkins,4097062,1060264,2/17/2020,94002,"Mount Enterprise, TX",Multiple Car Accident,05/23/2020,10/23/2021,5035,25463,0,5059726,33
Robert Jones,4956098,5115410,7/18/2020,63742,"Westland, PA",Auto Theft,01/25/2021,02/09/2021,8163,16677,0,6222505,24
Robert Waldeck,2917708,1676669,6/4/2020,85241,"Thornton, CO",Bike & Car Accident,05/09/2020,09/09/2020,12973,32573,0,1960822,35
Jose Stallings,2015976,3024198,8/15/2020,93177,"North Vernon, IN",Multiple Car Accident,11/25/2020,09/30/2021,13441,10650,0,9063220,21
Heather Hatchett,8196884,3681626,8/24/2020,11604,"Berea, KY",Hit and Run,11/09/2020,11/09/2020,7579,44665,0,1645214,50
Donald Marasco,8112100,9446359,1/20/2020,82510,"Gold Key Lake, PA",Bike & Car Accident,08/06/2020,03/29/2021,9855,45312,0,6520711,63
Bradley Roberts,6584025,4532633,5/27/2020,98167,"Garden City, ID",Single Car Accident,11/24/2020,12/01/2020,3737,44096,0,1420262,52
Lindsey Fry,4846966,7465031,4/27/2020,67254,"Carmel, IN",Auto Theft,12/24/2020,02/17/2021,12614,29125,0,3714566,38
Jessica Asato,8265587,7247197,9/14/2020,48128,"Mount Pleasant, OH",Multiple Car Accident,09/15/2020,09/29/2020,14001,50281,0,9126960,17
Bernard Drennan,6327179,7541704,11/6/2020,97199,"Woodville, AL",Auto Theft,02/08/2021,04/12/2021,11082,18226,0,4795735,19
Sarah Holmes,2126266,2266799,5/8/2020,90650,"Panther Valley, NJ",Hit and Run,06/15/2021,11/27/2021,15658,14669,0,2628069,61
